[['.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '*', '*', '*', '.', '.', '*', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '*', '.', '.', '*', '.', '.', '.', '*', '.', '*', '*', '.', '*', '.', '*', '*', '.', '.'],
 ['.', '*', '.', '.', '*', '*', '.', '*', '.', '.', '*', '.', '.', '*', '*', '*', '*', '*', '*', '.', '*', '*', '*', '*', '*', '.', '*', '.', '.', '.', '*', '.', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '*', '*', '.', '*', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.'],
 ['*', '*', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '*', '*', '*', '.', '.', '*', '.', '*', '*', '.', '.', '*', '*', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.'],
 ['.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '*', '*', '.', '.', '.', '.', '*', '.', '.', '.', '*', '*', '.', '*', '*', '.', '*', '.', '*', '.', '.', '*', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.'],
 ['.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '*', '*', '*', '*', '*', '.', '.', '*', '*', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '*', '*', '.', '.', '.', '.', '.', '.', '*', '*', '*', '.', '.', '*', '.', '.', '.', '*', '*', '.', '*', '.', '*'],
 ['*', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '*', '.', '*', '.', '*', '.', '.', '*', '*', '*', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '*', '*', '.', '*', '.', '.', '.'],
 ['.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '*', '*', '*', '.', '.', '*', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '*', '.', '.', '*', '*', '.'],
 ['.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '*', '.', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.'],
 ['*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '*', '.', '*', '.', '*', '*', '.', '*', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '*', '.', '*', '.', '*', '.', '.', '.', '.', '*', '.', '*', '*', '.', '.', '*', '*'],
 ['.', '*', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '*', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '*', '*', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '*', '*', '.', '*', '*', '*', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.'],
 ['.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '*', '*', '*', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '*', '.', '.', '.', '*', '*', '.', '*', '.', '.', '*', '*', '.', '.', '*', '*', '*', '*', '.', '.', '*', '*', '.', '.', '*', '.', '*', '*', '.', '*', '.'],
 ['.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '*', '.', '*', '*', '*', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '*'],
 ['*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '*', '.', '.', '*', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.'],
 ['*', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '*', '.', '*', '*', '.', '.', '*', '*', '.', '*', '*', '.', '.', '.', '*', '*', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '*'],
 ['.', '.', '.', '*', '.', '*', '*', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.', '.'],
 ['.', '.', '.', '.', '*', '*', '.', '.', '.', '*', '.', '.', '.', '*', '.', '*', '*', '*', '.', '.', '*', '.', '.', '.', '*', '*', '.', '.', '.', '.', '*', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '*', '*', '.', '.', '.', '.', '*', '.', '*', '*'],
 ['*', '*', '.', '*', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '*', '*', '.', '.', '*', '*', '.', '.', '.', '*', '.', '*', '*', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.'],
 ['.', '.', '.', '*', '*', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '.', '*', '*', '*', '.', '.', '*', '.', '*', '*', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '*', '.', '*', '.', '.', '*', '.', '*', '.', '.'],
 ['.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '*', '*', '*', '.', '.', '.', '.', '*', '.', '*', '*', '*', '.', '.', '*', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '*', '*', '*', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '.'],
 ['*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '.', '*', '.', '.', '*', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '*'],
 ['*', '.', '*', '.', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '*', '*', '*', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '.', '*', '*', '.', '.', '*', '*', '*', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.'],
 ['.', '.', '.', '.', '.', '*', '.', '*', '*', '.', '.', '*', '.', '*', '.', '.', '.', '.', '*', '.', '*', '*', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '*', '*', '.', '*', '.', '*', '.', '.', '.', '*', '*', '.', '*', '.', '.', '.', '.', '*', '.', '*', '.', '*', '*', '*', '.', '*', '.'],
 ['.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '*', '*', '.', '*', '*', '.', '*', '*', '*', '*', '.', '.', '.', '*', '*', '.', '*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '*', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*'],
 ['*', '.', '*', '*', '*', '*', '.', '*', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '.', '*', '.', '*', '*', '.', '*', '*', '.', '*', '*', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '*'],
 ['*', '*', '.', '.', '.', '.', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '*', '*', '.', '.', '*', '*', '.', '.', '.', '.', '.', '*', '.', '.', '*', '*', '*', '*', '.', '*', '*', '*', '.', '.', '.', '.', '.', '.', '*', '*', '*', '.', '*', '*', '*', '.', '.', '.'],
 ['*', '*', '.', '.', '.', '.', '.', '*', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '*', '*', '.', '.', '.', '.', '*', '*', '*', '.', '.', '*', '.', '*', '.', '.', '*', '*', '.', '*', '*', '.', '.', '*', '*', '.', '.', '.', '.', '.', '*', '.', '*', '*', '.', '*', '*', '.', '*'],
 ['.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '*', '*', '*', '*', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '*', '*', '.', '.', '*', '.', '.', '*', '*'],
 ['.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '*', '*', '*', '.', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '*', '*'],
 ['*', '.', '*', '.', '.', '.', '.', '*', '.', '*', '*', '*', '.', '.', '.', '*', '*', '.', '.', '.', '.', '*', '*', '.', '.', '*', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '*', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.'],
 ['.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '*', '.', '.', '*', '*', '.', '*', '*', '*', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '*', '*', '*', '.', '.'],
 ['*', '.', '*', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '*', '.', '.', '.', '*', '*', '.', '.', '*', '.', '*', '*', '*', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '*', '*'],
 ['.', '*', '.', '.', '.', '.', '*', '*', '.', '.', '.', '*', '*', '.', '.', '*', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '*', '.', '.', '*', '.', '*', '*', '.', '.', '*', '.', '*', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.', '.'],
 ['.', '*', '*', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '*', '.', '.', '*', '*', '*', '*', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '*', '*', '*', '.', '.', '.', '.', '*'],
 ['.', '*', '.', '.', '*', '.', '*', '.', '.', '.', '*', '.', '.', '*', '.', '.', '*', '.', '.', '*', '.', '*', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '*', '.', '*', '*', '.', '.', '.', '.', '.', '.', '*', '*', '*', '.', '*', '.', '*', '.', '.', '.', '*', '*', '.', '.', '.', '*'],
 ['*', '.', '*', '.', '.', '.', '*', '*', '.', '.', '.', '.', '*', '.', '.', '*', '*', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.', '*', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '*', '.', '.'],
 ['*', '.', '*', '.', '*', '*', '*', '.', '.', '*', '.', '*', '.', '.', '*', '*', '.', '.', '.', '*', '.', '.', '.', '.', '*', '*', '*', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '.', '*', '.', '*', '*', '.', '*', '.', '*', '.', '*', '.', '.', '*', '*', '.', '*', '.', '*', '*', '*', '.', '.'],
 ['.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '*', '*', '*', '*', '*', '.', '*', '*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '*', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '*', '.', '*', '.', '.', '.', '*', '.'],
 ['*', '.', '.', '*', '*', '.', '*', '*', '*', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '*', '*', '*', '.', '.', '.', '*', '.', '.', '*', '*', '.', '.', '*', '.', '.', '*', '.', '.', '*', '.', '.', '*', '*', '.', '.', '.', '*', '*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '*', '*'],
 ['*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '*', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '*', '*', '*', '.', '*', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.'],
 ['.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '*', '.', '.', '*', '.', '.', '*', '*', '*', '.', '.', '.', '*', '*', '.', '.', '*', '*', '.', '*', '.', '*', '.', '.', '*', '*', '.', '*', '.', '*', '*', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '.', '.', '.'],
 ['*', '.', '.', '.', '*', '*', '.', '.', '.', '.', '.', '*', '.', '.', '*', '*', '*', '.', '.', '.', '*', '.', '*', '*', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.'],
 ['.', '.', '*', '*', '.', '.', '*', '.', '*', '.', '.', '.', '*', '.', '*', '*', '.', '.', '.', '.', '.', '.', '.', '*', '*', '*', '*', '*', '.', '.', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '.', '.', '*', '*', '.', '.', '.', '.', '*', '*', '.', '.', '*', '.', '*', '.', '.', '.', '*', '*'],
 ['.', '.', '*', '.', '.', '.', '*', '.', '*', '*', '.', '*', '*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '*', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '*', '.', '*', '.', '.', '*', '*', '.', '*', '.', '*', '.', '*', '.', '.', '.'],
 ['*', '.', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '*', '*', '.', '*', '.', '.', '.', '.', '*', '*', '*', '*', '*', '.', '*', '*', '.', '*', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.'],
 ['.', '.', '*', '.', '*', '*', '*', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '*', '*', '*', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '.', '*', '*', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '*'],
 ['.', '*', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '.', '.', '*', '*', '.', '.', '*', '*', '.', '*', '.', '.', '.', '.', '*', '*', '.', '.', '.', '*', '.', '.', '.', '.', '*', '*', '*', '.', '*', '.', '.', '.'],
 ['.', '.', '.', '.', '.', '.', '.', '*', '*', '*', '*', '.', '.', '.', '*', '*', '.', '*', '.', '.', '.', '*', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '*', '.', '*', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*'],
 ['.', '.', '.', '.', '*', '.', '*', '.', '.', '*', '.', '*', '.', '*', '.', '.', '.', '*', '.', '*', '.', '.', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '*', '*', '*', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.', '*', '.', '*', '.', '*', '.', '*', '.', '*', '.', '.', '*', '.'],
 ['.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '*', '.', '*', '.', '.', '*', '*', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '*', '.', '.', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '*', '.', '.', '.', '.'],
 ['*', '*', '.', '*', '*', '*', '*', '*', '.', '.', '.', '.', '.', '.', '.', '*', '*', '*', '.', '.', '*', '.', '.', '.', '.', '.', '.', '*', '.', '*', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '.', '.', '.', '.', '.', '.', '.', '.', '.', '*', '*', '.', '.']]
0
